name,id,classification,mass,year,latitude,longitude
Jackalsfontein,12065,L6,48000.0,1903.0,-32.5,21.9
Jartai,12074,L6,20500.0,1979.0,39.7,105.8
Jelica,12078,LL6,34000.0,1889.0,43.83333,20.44167
Jianshi,12087,"Iron, IIIAB",600000.0,1890.0,30.80833,109.5
Jilin,12171,H5,4000000.0,1976.0,44.05,126.16667
Johnstown,12198,Diogenite,40300.0,1924.0,40.35,-104.9
Juancheng,12203,H5,100000.0,1997.0,35.5,115.41667
Jumapalo,12209,L6,32490.0,1984.0,-7.71667,111.2
Juromenha,12213,"Iron, IIIAB",25250.0,1968.0,38.74028,-7.27
Juvinas,12214,Eucrite-mmict,91000.0,1821.0,44.71667,4.3
Kabo,12220,H4,13400.0,1971.0,11.85,8.21667
Kainsaz,12229,CO3.2,200000.0,1937.0,55.43333,53.25
Kapoeta,12251,Howardite,11355.0,1942.0,4.7,33.63333
Karkh,12262,L6,22000.0,1905.0,27.8,67.16667
Karoonda,12264,CK4,41730.0,1930.0,-35.08333,139.91667
Kasauli,30740,H4,16820.0,2003.0,29.58333,77.58333
Kayakent,12268,"Iron, IIIAB",85000.0,1961.0,39.26333,31.78
Kernouve,12284,H6,80000.0,1869.0,48.11667,-3.08333
Kesen,12286,H4,135000.0,1850.0,38.98333,141.61667
Khairpur,12288,EL6,13600.0,1873.0,29.53333,72.3
Kidairat,12300,H6,100000.0,1983.0,14.0,28.0
Kilabo,12307,LL6,19000.0,2002.0,12.76667,9.8
Knyahinya,12335,L/LL5,500000.0,1866.0,48.9,22.4
Kokubunji,12342,L6,11510.0,1986.0,34.3,133.95
Krähenberg,12353,LL5,16500.0,1869.0,49.32694,7.46472
Krymka,12364,LL3.2,50000.0,1946.0,47.83333,30.76667
Kunashak,12377,L6,200000.0,1949.0,55.78333,61.36667
Kunya-Urgench,12379,H5,1100000.0,1998.0,42.25,59.2
Kuttippuram,12384,L6,45000.0,1914.0,10.83333,76.03333
Kyushu,12390,L6,45000.0,1886.0,32.03333,130.63333
La Criolla,12396,L6,45000.0,1985.0,-31.23333,-58.16667
L'Aigle,12434,L6,37000.0,1803.0,48.76667,0.63333
Lancé,12455,CO3.5,51700.0,1872.0,47.7,1.06667
Laochenzhen,12466,H5,14250.0,1987.0,33.13333,115.16667
Leedey,12755,L6,51500.0,1943.0,35.88333,-99.33333
Limerick,14652,H5,50000.0,1813.0,52.56667,-8.78333
Lissa,14661,L6,12800.0,1808.0,50.2,14.85
Lohawat,14678,Howardite,40000.0,1994.0,26.96556,72.62667
Lost City,14711,H5,17000.0,1970.0,36.00833,-95.15
Łowicz,14718,Mesosiderite-A3,59000.0,1935.0,52.0,19.91667
Lundsgård,14755,L6,11000.0,1889.0,56.21667,13.03333
Luponnas,14757,H3-5,14000.0,1753.0,46.21667,5.0
Machinga,15371,L6,93200.0,1981.0,-15.21222,35.24222
Mahadevpur,47361,H4/5,70500.0,2007.0,27.66667,95.78333
