name,id,classification,mass,year,latitude,longitude
Bou Azarif,53812,H5,100000.0,2010.0,31.15643,-5.15262
Boxhole,5126,"Iron, IIIAB",500000.0,1937.0,-22.61667,135.2
Brahin,5130,"Pallasite, PMG",823000.0,1810.0,52.5,30.33333
Brainard,5131,"Iron, IIIAB",138300.0,1978.0,41.15333,-96.955
Brenham,5136,"Pallasite, PMG-an",4300000.0,1882.0,37.5825,-99.16361
Brewster,5137,L6,17000.0,1940.0,39.25,-101.33333
Bridgewater,5139,"Iron, IID",13600.0,1890.0,35.71667,-81.86667
Bristol,5143,"Iron, IVA",20000.0,1937.0,36.56667,-82.18333
Broken Hill,5146,L6,34000.0,1994.0,-31.83333,141.76667
Brownfield (1937),5151,H3.7,40960.0,1937.0,33.21667,-102.18333
Bruceville,5155,L6,83000.0,1998.0,38.295,-121.405
Bruno,5158,"Iron, IIAB",13000.0,1931.0,52.26667,-105.35
Buck Mountains 003,44705,L6,34200.0,2005.0,34.7345,-114.21717
Budulan,5161,Mesosiderite-B4,100000.0,1962.0,50.56667,114.9
Buenaventura,5162,"Iron, IIIAB",113600.0,1969.0,29.8,-107.55
Bunjil,5164,L6,38750.0,1971.0,-29.62917,116.48222
Bunker Hill,54611,L6,28000.0,2002.0,38.84833,-98.72383
Bur-Abor,5166,"Iron, IIIAB",290000.0,1997.0,3.98333,41.65
Burgavli,5168,"Iron, IAB-MG",24900.0,1941.0,66.4,137.46667
Burlington,5172,"Iron, IIIE",68000.0,1819.0,42.75,-75.18333
Burns,57342,"Iron, IIIAB",18400.0,2003.0,39.86667,-106.88333
Butler,5182,"Iron, ungrouped",41000.0,1874.0,38.3,-94.36667
Cacaria,5188,"Iron, IIIAB",41400.0,1867.0,24.5,-104.8
Cachari,5189,Eucrite-mmict,23500.0,1916.0,-36.4,-59.5
Caddo County,5192,"Iron, IAB-ung",18000.0,1987.0,35.0,-98.33333
Caldwell,5197,L-imp melt,12900.0,1961.0,37.03333,-97.625
Calliham,5201,L6,40000.0,1958.0,28.41667,-98.25
Cambria,5203,"Iron, ungrouped",16300.0,1818.0,43.2,-78.8
Camel Donga,5204,Eucrite-mmict,25000.0,1984.0,-30.31667,126.61667
Campbellsville,5245,"Iron, IIIAB",15400.0,1929.0,37.36667,-85.36667
Campinorte,52093,"Iron, ungrouped",2000000.0,1992.0,-14.258,-49.15917
Campo del Cielo,5247,"Iron, IAB-MG",50000000.0,1575.0,-27.46667,-60.58333
Canyon Diablo,5257,"Iron, IAB-MG",30000000.0,1891.0,35.05,-111.03333
Cape of Good Hope,5261,"Iron, IVB",136000.0,1793.0,-33.5,26.0
Cape York,5262,"Iron, IIIAB",58200000.0,1818.0,76.13333,-64.93333
Caperr,5263,"Iron, IIIAB",113900.0,1869.0,-45.28333,-70.48333
Capot Rey,30449,H5,38000.0,2004.0,20.12593,10.2056
Carbo,5266,"Iron, IID",454000.0,1923.0,29.66667,-111.5
Carichic,5270,H5,17000.0,1983.0,27.93333,-107.05
Carlton,5277,"Iron, IAB-sLM",81200.0,1887.0,31.91667,-98.03333
Carnegie,5278,L6,132700.0,1963.0,35.16667,-98.64389
Carraweena,5281,L3.9,31600.0,1914.0,-29.23333,139.93333
Carthage,5282,"Iron, IIIAB",127000.0,1840.0,36.26667,-85.98333
Carver,5284,"Iron, IIAB",94000.0,1935.0,32.0,-86.0
Casas Grandes,5285,"Iron, IIIAB",1545000.0,1867.0,30.4,-107.8
Casimiro de Abreu,5289,"Iron, IIIAB",25000.0,1947.0,-22.46667,-42.21667
Cavour,5300,H6,26210.0,1938.0,44.221494,-98.059192
Cedar (Texas),5303,H4,26000.0,1900.0,29.82806,-96.90861
Cedartown,5304,"Iron, IIAB",11300.0,1898.0,34.01667,-85.26667
Cerro del Inca,5309,"Iron, IIIF",20600.0,1997.0,-22.21667,-68.90833
Changxing,5323,H5,27900.0,1964.0,31.33333,121.66667
Channing,5324,H5,15300.0,1936.0,35.71667,-102.28333
Charcas,5326,"Iron, IIIAB",1400000.0,1804.0,23.08333,-101.01667
Chebankol,5335,"Iron, IAB-sHL",127760.0,1938.0,53.66667,88.0
Chesterville,5343,"Iron, IIAB",16500.0,1849.0,34.7,-81.2
Chico,5346,L6,104800.0,1954.0,36.5,-104.2
Chihuahua City,5350,"Iron, IC",54000.0,1929.0,28.66667,-106.11667
Chilkoot,5351,"Iron, IIIAB",43000.0,1881.0,59.33333,-136.0
Chinga,5353,"Iron, ungrouped",209400.0,1913.0,51.05833,94.4
Chulafinnee,5362,"Iron, IIIAB",16220.0,1873.0,33.5,-85.66667
Chupaderos,5363,"Iron, IIIAB",24300000.0,1852.0,27.0,-105.1
Clark County,5373,"Iron, IIIF",11300.0,1937.0,38.0,-84.16667
Claytonville,5375,L5,15600.0,1964.0,34.34667,-101.49
Cleo Springs,5378,H4,24000.0,1960.0,36.43333,-98.43333
Cleveland,5379,"Iron, IIIAB",115000.0,1860.0,34.88333,-84.78333
Clifford,5380,L6,11360.0,1962.0,39.1,-103.25833
Clovis (no. 1),5385,H3.6,283000.0,1961.0,34.3,-103.13472
Clovis (no. 2),5386,L6,41300.0,1963.0,34.3,-103.13333
Coahuila,5387,"Iron, IIAB",2100000.0,1837.0,28.7,-102.73333
Cocklebiddy,5392,H5,19500.0,1949.0,-31.93333,126.21667
Coffeyville,51051,H5,35900.0,2006.0,37.01667,-95.66667
Coldwater (iron),5398,Iron,18400.0,1923.0,37.26667,-99.33333
Coldwater (stone),5399,H5,16000.0,1924.0,37.26667,-99.33333
Cole Creek,5400,H5,16300.0,1991.0,41.35,-99.11667
Colomera,5404,"Iron, IIE",134000.0,1912.0,37.43333,-3.65
Colonia Obrera,5405,"Iron, IIIE",12200.0,1973.0,24.01667,-104.66667
Colton,5410,"Iron, IIIAB",19670.0,1993.0,46.57056,-117.09861
Comanche (iron),5414,"Iron, IAB-sLL",19700.0,1940.0,32.01667,-98.7
Conception Junction,53877,"Pallasite, PMG-an",17000.0,2006.0,40.266667,-94.683333
Concho,5417,L6,93500.0,1939.0,32.0,-101.5
Cook 001,5421,H5,105000.0,1989.0,-30.33333,130.53333
Cook 007,5427,H4,100000.0,1989.0,-30.61667,130.41667
Coolac,5432,"Iron, IAB-MG",19280.0,1874.0,-34.96667,148.125
Coopertown,5438,"Iron, IIIE",16800.0,1860.0,36.43333,-87.0
Cope,5440,H5,12000.0,1934.0,39.66667,-102.83333
Copiapo,5442,"Iron, IAB-MG",20000.0,1863.0,-27.3,-70.4
Corowa,5446,"Iron, IIF",11340.0,1964.0,-36.0,146.36667
Cosby's Creek,5450,"Iron, IAB-MG",960000.0,1837.0,35.78333,-83.25
Costilla Peak,5453,"Iron, IIIAB",35500.0,1881.0,36.83333,-105.23333
Covert,5456,H5,61000.0,1896.0,39.2,-98.78333
Crab Orchard,5461,Mesosiderite-A1,48500.0,1887.0,35.83333,-84.91667
Cranbourne,5463,"Iron, IAB-MG",8600000.0,1854.0,-38.1,145.3
Cratheús (1931),5466,"Iron, IVA",27500.0,1914.0,-5.25,-40.5
Credo,5468,L6,10820.0,1967.0,-30.36667,120.73333
Cruz del Aire,5478,"Iron, ungrouped",23000.0,1911.0,26.5,-100.0
Cruz del Eje,51739,"Iron, IAB complex",14000.0,1971.0,-30.75,-64.78333
Cuero,5493,H5,46500.0,1936.0,29.01667,-97.28333
Cullison,5495,H4,10000.0,1911.0,37.61667,-98.91667
Cumpas,5497,"Iron, IIIAB",28600.0,1903.0,30.0,-109.66667
Dadin,5503,Iron,27300.0,1949.0,-38.91667,-69.2
Dalgaranga,5506,Mesosiderite-A,12200.0,1923.0,-27.71667,117.25
Dalgety Downs,5507,L4,257000.0,1941.0,-25.33333,116.18333
Dalton,5509,"Iron, IIIAB",53000.0,1879.0,34.8,-84.98333
Dar al Gani 399,5947,L5,11455.0,1998.0,27.86667,15.94283
Dar al Gani 477,6025,L6,16128.0,1998.0,27.74767,16.003
Dar al Gani 595,6142,H5,14931.0,1998.0,27.63917,15.90133
Dar al Gani 610,6157,H4,44000.0,1998.0,26.85,16.73333
Dar al Gani 741,6288,H4,20500.0,1998.0,27.08167,16.28333
Dar al Gani 749,6296,CO3,95000.0,1999.0,27.30167,15.7645
Dar al Gani 779,6326,Howardite,18800.0,1999.0,26.99233,16.4375
Dar al Gani 955,6495,H6,18500.0,1999.0,27.13183,16.20767
Dar al Gani 956,6496,L6,15000.0,1997.0,27.13267,15.9925
Daraj 001,6540,H5,30000.0,1986.0,29.6425,11.73222
Darinskoe,6602,"Iron, IIC",11200.0,1984.0,51.41667,51.96667
Davis Mountains,6615,"Iron, IIIAB",689000.0,1903.0,30.75,-104.25
Davy (a),6616,L4,50600.0,1940.0,29.1,-97.6
Dayton,6620,"Iron, IAB-sLH",26300.0,1892.0,39.75,-84.16667
De Hoek,6622,"Iron, ungrouped",20930.0,1960.0,-29.38333,23.1
De Nova,6624,L6,12700.0,1940.0,39.85,-102.95
Deelfontein,6636,"Iron, IAB-MG",28000.0,1932.0,-30.18333,23.26667
Deep Springs,6637,"Iron, ungrouped",11500.0,1846.0,36.5,-79.75
Delegate,6641,"Iron, IIIAB-an",27700.0,1904.0,-37.0,149.03333
Densmore (1879),6656,L6,37200.0,1879.0,39.65,-99.68333
Densmore (1950),6657,H6,11300.0,1950.0,39.56583,-99.64722
Denver City,6661,"Iron, ungrouped",26100.0,1975.0,33.07139,-102.80028
Deport,6662,"Iron, IAB-sLL",15000.0,1926.0,33.51667,-95.3
Derrick Peak 00200,6666,"Iron, IIAB",10000.0,2000.0,-80.06667,156.38333
Derrick Peak 88017,6668,"Iron, IIAB",63000.0,1988.0,-80.06667,156.38333
Derrick Peak A78001,6677,"Iron, IIAB",15200.0,1978.0,-80.06667,156.38333
Derrick Peak A78005,6681,"Iron, IIAB",18600.0,1978.0,-80.06667,156.38333
Derrick Peak A78007,6683,"Iron, IIAB",11800.0,1978.0,-80.06667,156.38333
Derrick Peak A78008,6684,"Iron, IIAB",59400.0,1978.0,-80.06667,156.38333
Derrick Peak A78009,6685,"Iron, IIAB",138100.0,1978.0,-80.06667,156.38333
Derrick Peak A78011,6687,"Iron, IIAB",31800.0,1978.0,-80.06667,156.38333
Derrick Peak A78012,6688,"Iron, IIAB",26000.0,1978.0,-80.06667,156.38333
Derrick Peak A78013,6689,"Iron, IIAB",10600.0,1978.0,-80.06667,156.38333
Dhofar 005,6704,L6,125500.0,2000.0,18.16667,54.16667
Dhofar 007,6706,Eucrite-cm,21270.0,1999.0,18.335,54.18167
Dhofar 020,6719,H4/5,256000.0,2000.0,19.03333,54.51667
Dhofar 069,6768,H4,10083.0,1999.0,19.15867,54.731
Dhofar 1026,6828,H6,10500.0,2003.0,18.65952,54.2463
Dhofar 1027,6829,H5/6,14944.0,2003.0,18.66003,54.24553
Dhofar 1288,34504,H5,43600.0,2004.0,18.27833,54.285
Dhofar 1289,34505,L4,37000.0,2004.0,18.63333,54.42167
Dhofar 1426,35514,H~5,42850.0,2001.0,19.173,54.70407
Dhofar 1433,45837,H5,44790.0,2006.0,18.43333,54.1
Dhofar 1493,51054,L6,14000.0,2008.0,18.67378,54.45017
Dhofar 1511,53800,L~5,17973.0,2009.0,18.63988,54.248
Dhofar 1558,53884,L4,11400.0,2009.0,18.39317,54.66433
Dhofar 1565,51570,H5,43000.0,2008.0,18.2735,54.21367
Dhofar 1654,55572,L5,50000.0,2011.0,18.67877,54.2876
Dhofar 1700,56325,L6,39000.0,2010.0,18.86622,54.67967
Dhofar 1722,56345,H5,25000.0,2010.0,19.08188,54.71472
Dhofar 224,7008,H4,14974.0,2001.0,19.15833,54.57333
Dhofar 360,7143,LL3-6,15300.0,2000.0,19.04002,54.78383
Dhofar 379,7161,L6,25000.0,2000.0,19.0084,54.76913
Dhofar 446,7221,L5,12400.0,2001.0,18.93805,54.68658
Dhofar 721,7477,H4,13605.0,2001.0,18.79167,54.15333
Dimboola,7643,H5,16000.0,1944.0,-36.5,142.03333
Dimitrovgrad,7644,"Iron, IIIAB",100000.0,1949.0,43.04639,22.86389
Dimmitt,7645,H3.7,200000.0,1942.0,34.58333,-102.16667
Divnoe,7650,Achondrite-ung,12700.0,1981.0,45.7,43.7
Dix,7651,L6,44000.0,1927.0,41.23333,-103.48333
Djebel Chaab 002,7654,LL6,30616.0,2003.0,25.15592,0.82213
Djebel In-Azzene,7655,"Iron, IIIAB",12500.0,1990.0,27.86667,0.45
D'Orbigny,7714,Angrite,16550.0,1979.0,-37.66667,-61.65
Dorofeevka,7717,"Iron, IIF",12600.0,1910.0,53.33333,70.06667
Dronino,7732,"Iron, ungrouped",40000.0,2000.0,54.74667,41.42167
Drum Mountains,7733,"Iron, IIIAB",529000.0,1944.0,39.5,-112.9
Duchesne,7737,"Iron, IVA",22700.0,1906.0,40.38333,-110.86667
Duel Hill (1854),7738,"Iron, IVA",21800.0,1854.0,35.85,-82.7
Duel Hill (1873),7739,"Iron, IAB-MG",11300.0,1873.0,35.85,-82.7
Duketon,7740,"Iron, IIIAB",118300.0,1948.0,-27.5,122.36667
Dumas (a),7741,H5,46050.0,1956.0,35.9,-101.9
Dumont,47341,"Iron, IVB",27420.0,1994.0,33.81667,-100.51667
Duncanville,7744,H,17800.0,1961.0,32.63333,-96.86667
Dungannon,7747,"Iron, IAB-MG",13000.0,1922.0,36.85,-82.45
Dunganville,7748,"Iron, IIIAB",54000.0,1976.0,-42.55,171.35
Eagle Station,7761,"Pallasite, PES",36000.0,1880.0,38.61667,-84.96667
Edmonson (a),7768,L6,12000.0,1955.0,34.28333,-101.83333
Edmonson (b),7769,H4,14402.0,1981.0,34.28333,-101.83333
Edmonton (Kentucky),7771,"Iron, IAB-sLM",10200.0,1942.0,37.03333,-85.63333
Efremovka,7772,CV3,21000.0,1962.0,52.5,77.0
Egvekinot,7773,"Iron, IAB-sLM",10000.0,1970.0,66.8,178.2
El Bahrain,7790,L6,14000.0,1983.0,28.6,26.4
El Burro,7793,"Iron, IIAB",35900.0,1939.0,29.33333,-101.83333
El Capitan,7794,"Iron, IIIAB",27500.0,1893.0,33.5,-105.5
El Hammami,7806,H5,240000.0,1997.0,23.28333,-10.81667
El Perdido,7813,H5,30250.0,1905.0,-38.68333,-61.1
El Sampal,7817,"Iron, IIIAB",142000.0,1973.0,-44.53333,-70.36667
El Simbolar,7818,Iron,40000.0,1938.0,-30.63333,-64.88333
El Timbu,7820,Iron,500000.0,1942.0,-33.11667,-60.96667
Elephant Moraine 87538,8088,L6,11894.0,1987.0,-76.18333,157.16667
Elephant Moraine 92193,9594,H6,22000.0,1992.0,-76.04222,155.94038
Elga,10012,"Iron, IIE",28800.0,1959.0,64.7,141.2
Eli Elwah,10013,L6,15200.0,1888.0,-34.5,144.71667
Ellerslie,10020,L5,10200.0,1905.0,-28.9,146.76667
Ellicott,10021,"Iron, IAB-ung",15700.0,1960.0,38.80778,-104.56944
Elyria,10030,"Iron, IIIAB",10900.0,1971.0,38.28,-97.365
Emery,10031,Mesosiderite-A3,16700.0,1962.0,43.56333,-97.58333
Emsland,10035,"Iron, ungrouped",19000.0,1940.0,53.1,7.2
Esquel,10054,"Pallasite, PMG",755000.0,1951.0,-42.9,-71.33333
Estacado,10057,H6,290000.0,1883.0,33.9,-101.75
Ethiudna,10060,L4,74318.0,1977.0,-32.03333,139.78333
Etosha,10061,"Iron, IC",110700.0,1970.0,-18.5,16.0
Etter,10062,L5,450000.0,1965.0,35.98333,-101.9
Fairview,10070,"Iron, IIIAB",28800.0,1986.0,34.10139,-102.65
Faith,10071,H5,105000.0,1952.0,45.33333,-102.08333
Farley,10073,H5,19400.0,1936.0,36.33333,-104.05
Faucett,10077,H5,100000.0,1966.0,39.61667,-94.86667
Felsted,10082,"Iron, IIIAB",13500.0,1977.0,54.99056,9.49194
Finmarken,10103,"Pallasite, PMG",78300.0,1902.0,70.0,24.0
Finney,10104,L5,10700.0,1962.0,34.26667,-101.56667
Flandreau,10109,H5,21360.0,1983.0,44.04833,-96.59167
Florey,10112,H6,110800.0,1978.0,32.5225,-102.705
Floyd,10113,L4,13000.0,1966.0,34.19333,-103.575
Floydada,10114,"Iron, IIIAB",12500.0,1912.0,33.98333,-101.28333
Forestburg (a),10121,L4,26100.0,1957.0,33.50667,-97.65139
Forestburg (b),10122,L5,26600.0,1957.0,33.49556,-97.58861
Forrest 002,10125,L6,26000.0,1980.0,-30.98333,127.88333
Forsyth County,10165,"Iron, IIAB",22700.0,1891.0,36.1,-80.2
Fort Pierre,10167,"Iron, IIIAB",15900.0,1856.0,44.35,-100.38333
Four Corners,10172,"Iron, IAB-ung",25000.0,1924.0,37.0,-109.05
Franceville,10173,"Iron, IIIAB",18800.0,1890.0,38.81667,-104.61667
Franconia,10174,H5,100000.0,2002.0,34.71637,-114.22197
Frankfort (iron),10176,"Iron, IIIAB",10900.0,1866.0,38.2,-84.83333
Friona,10184,L5,21900.0,1981.0,34.54,-102.56833
Fukang,34491,"Pallasite, PMG",1003000.0,2000.0,44.43333,87.63333
Gaines County Park,10844,H5,13700.0,1977.0,32.83333,-102.73333
Galatia,10847,L6,23900.0,1971.0,38.64167,-98.88333
Gan Gan,10852,"Iron, IVA",83000.0,1984.0,-42.66667,-68.08333
Garabato,10856,H5,160000.0,1995.0,-28.86667,-60.2
Gascoyne Junction,10865,H5,10000.0,1978.0,-24.5,115.18333
Gebel Kamil,52031,"Iron, ungrouped",1600000.0,2009.0,22.01833,26.08778
Ghubara,10911,L5,1750000.0,1954.0,19.22778,56.14278
Gibeon,10912,"Iron, IVA",26000000.0,1836.0,-25.5,18.0
Gilgoin,10915,H5,147000.0,1889.0,-30.38333,147.2
Gladstone (iron),10920,"Iron, IAB-MG",736600.0,1915.0,-23.9,151.3
Gladstone (stone),10921,H4,57300.0,1936.0,36.3,-104.0
Glasgow,10927,"Iron, IIIAB",20400.0,1922.0,37.01667,-85.91667
Glen Rose (iron),10932,"Iron, ungrouped",11000.0,1934.0,32.25,-97.71667
Glenormiston,10933,"Iron, ungrouped",40800.0,1925.0,-22.9,138.71667
Glorieta Mountain,10935,"Pallasite, PMG-an",148000.0,1884.0,35.6,-105.8
Gnowangerup,10937,"Iron, IIIAB",33600.0,1976.0,-34.0,118.1
Gobabeb,10939,H4,27000.0,1969.0,-23.55,15.03333
Gold Basin,10940,L4,61000.0,1995.0,35.875,-114.23333
Gomez,10944,L6,47000.0,1974.0,33.18139,-102.40139
Goose Lake,10947,"Iron, IAB-sLL",1169500.0,1938.0,41.98,-120.54167
Goronyo,34019,H4,11000.0,2001.0,13.26667,5.4
Grand Rapids,10955,"Iron, ungrouped",51700.0,1883.0,42.96667,-85.76667
Grant,10957,"Iron, IIIAB",525000.0,1929.0,35.16667,-107.88333
Graves Nunataks 95200,10960,L5,25066.1,1995.0,-86.71667,-141.5
Graves Nunataks 98186,11176,H6,29000.0,1998.0,-86.71667,-141.5
Grayton,11177,H5,11300.0,1983.0,30.31167,-86.16667
Great Bend,11180,H6,28770.0,1983.0,38.395,-98.91583
Great Sand Sea 019,11190,LL6,12000.0,1999.0,25.53667,25.65778
Gressk,11200,"Iron, IIAB",303000.0,1955.0,53.23333,27.33333
Gretna,11201,L5,82000.0,1912.0,39.93333,-99.21667
Grosvenor Mountains 95500,11228,L6,10000.0,1995.0,-85.66667,175.0
Gruver,11428,H4,13100.0,1934.0,36.33333,-101.4
Guadalupe y Calvo,11431,"Iron, IIAB",58630.0,1971.0,26.1,-106.96667
Guanaco,11433,"Iron, IIG",13100.0,2000.0,-25.1,-69.53333
Guanghua,11434,"Iron, IVA",190000.0,1932.0,32.4,111.7
Guffey,11441,"Iron, ungrouped",309000.0,1907.0,38.76667,-105.51667
Guin,11445,"Iron, ungrouped",34500.0,1969.0,33.96667,-87.91667
Gun Creek,11451,"Iron, ungrouped",22700.0,1909.0,34.0,-111.0
Gundaring,11452,"Iron, IIIAB",112500.0,1937.0,-33.3,117.66667
Hagersville,11470,"Iron, IAB complex",30000.0,1999.0,42.96667,-80.15
Haig,11471,"Iron, IIIAB",503000.0,1951.0,-31.38333,125.63333
Hainholz,11473,Mesosiderite-A4,16500.0,1856.0,52.28333,8.91667
Hambleton,36590,"Pallasite, PMG",17600.0,2005.0,54.24028,-1.19889
Hamilton (Queensland),11483,L6,68000.0,1966.0,-28.48333,148.25
Hammadah al Hamra 001,11486,H5,19418.0,1990.0,29.0,12.23333
Hammadah al Hamra 019,11502,H6,13431.0,1990.0,29.06667,12.68333
Hammadah al Hamra 051,11534,H6,12000.0,1994.0,28.8435,12.99683
Hammadah al Hamra 087,11570,L6,22114.0,1995.0,28.59583,13.269
Hammadah al Hamra 148,11631,L5,15770.0,1995.0,28.71967,12.86433
Hammadah al Hamra 153,11636,H3.8-4,50000.0,1995.0,28.60033,13.5775
Hammadah al Hamra 173,11656,L6,45000.0,1996.0,28.63667,13.1965
Hammadah al Hamra 280,11763,CK4,26500.0,2000.0,28.47017,12.972
Hammadah al Hamra 296,11779,H5/6,27064.0,2000.0,29.1,12.31667
Hammadah al Hamra 328,11811,H5,30440.0,1999.0,28.95833,10.59167
Hammond,11813,"Iron, ungrouped",24000.0,1884.0,44.91667,-92.43333
Hammond Downs,11814,H4,27000.0,1950.0,-25.46667,142.8
Happy Canyon,11821,EL6/7,16300.0,1971.0,34.80167,-101.56667
Hardtner,11827,L6,13000.0,1972.0,37.06667,-98.66167
Harriman (Of),11840,"Iron, IVA",30000.0,1947.0,35.95,-84.56667
Harriman (Om),11841,"Iron, IIIAB",13000.0,1938.0,35.95,-84.56667
Harrisonville,11844,L6,46500.0,1933.0,38.65,-94.33333
Haskell,11849,L5,36000.0,1909.0,33.21333,-99.73167
Hasparos,11850,"Iron, IAB-MG",12880.0,1935.0,34.0,-105.5
Hassayampa,11851,H4,16000.0,1963.0,33.75,-112.66667
Haxtun,11863,H/L4,15500.0,1975.0,40.45667,-102.57834
Hebron,11867,H6,21820.0,1965.0,40.16667,-97.6
Henbury,11872,"Iron, IIIAB",2000000.0,1931.0,-24.56667,133.16667
Hermitage Plains,11877,L6,32000.0,1909.0,-31.73333,146.4
Hesston,11879,L6,12900.0,1951.0,38.11667,-97.43333
Hex River Mountains,11880,"Iron, IIAB",60000.0,1882.0,-33.31667,19.61667
Hill City,11886,"Iron, IVA",11700.0,1947.0,39.36667,-99.85
Hinojal,11887,L6,50000.0,1927.0,-32.36667,-60.15
Hoba,11890,"Iron, IVB",60000000.0,1920.0,-19.58333,17.91667
Holland's Store,11896,"Iron, IIAB",12200.0,1887.0,34.36667,-85.43333
Holyoke,11900,H4,11200.0,1933.0,40.56667,-102.3
Horace,11908,H5,19700.0,1940.0,38.35,-101.78333
Horh Uul,11909,"Iron, IIIAB",44000.0,2001.0,43.25,104.16667
Huckitta,11922,"Pallasite, PMG-an",2300000.0,1924.0,-22.36667,135.76667
Hugoton,11984,H5,350000.0,1927.0,37.2,-101.35
Huizopa,11985,"Iron, IVA",140000.0,1907.0,28.9,-108.56667
Hunter,11987,LL5,74600.0,1962.0,36.56,-97.66667
Huntsman,11988,H4,14500.0,1910.0,41.18333,-103.0
Ider,11999,"Iron, IIIAB",140000.0,1957.0,34.68333,-85.65
Ilafegh 008,12013,L5,26100.0,1989.0,21.6,1.66667
Ilimaes (iron),12022,"Iron, IIIAB",51700.0,1870.0,-26.0,-70.0
Imilac,12025,"Pallasite, PMG",920000.0,1822.0,-24.20333,-68.80667
Indian Valley,12029,"Iron, IIAB",14100.0,1887.0,36.93333,-80.5
Indianópolis,12031,"Iron, IIAB",14850.0,1989.0,-19.16667,-47.83333
Indio Rico,12032,H6,15000.0,1887.0,-38.33333,-60.88333
Ingella Station,12034,H5,50000.0,1987.0,-25.55,142.78333
Ioka,12040,L3.5,31500.0,1931.0,40.25,-110.08333
Iquique,12045,"Iron, IVB",12500.0,1871.0,-20.18333,-69.73333
Iron Creek,12047,"Iron, IIIAB",175000.0,1869.0,53.0,-112.0
Isheyevo,30726,CH/CBb,16000.0,2003.0,53.61667,56.33333
Isna,12051,CO3.8,23000.0,1970.0,24.83333,31.66667
Isoulane-n-Amahar,12052,L6,72000.0,1945.0,27.12917,8.66722
Ivanpah,12062,"Iron, IIIAB",58000.0,1880.0,35.33333,-115.31667
Jalu,12070,L6,150000.0,2000.0,27.95833,21.68333
Jaralito,12073,"Iron, IAB-MG",11138.0,1977.0,26.26583,-103.885
Jenkins,12080,"Iron, IAB-MG",55400.0,1946.0,36.82444,-93.76111
Jenny's Creek,12081,"Iron, IAB-MG",12000.0,1883.0,37.9,-82.38333
Jepara,53840,"Pallasite, PMG",499500.0,2008.0,-6.6,110.73333
Jerome (Kansas),12083,L4,29600.0,1894.0,38.76667,-100.73333
Jerslev,12084,"Iron, IIAB",40000.0,1976.0,55.608833,11.229167
Jiddat al Harasis 003,12091,L5,10830.0,1999.0,19.53,55.75833
Jiddat al Harasis 055,12119,L4-5,200000.0,2004.0,19.65167,55.69
Jiddat al Harasis 073,12135,L6,550000.0,2002.0,19.7,55.73333
Jiddat al Harasis 090,12149,L5,92667.6,2002.0,19.71678,56.6062
Jiddat al Harasis 091,12150,L5,123374.0,2002.0,19.69362,56.65432
Jiddat al Harasis 203,45839,Mesosiderite-C2,46200.0,2002.0,19.983,56.41368
Jiddat al Harasis 230,35549,L5,77000.0,2005.0,19.7127,56.58277
Jiddat al Harasis 267,35584,Mesosiderite,16005.5,2005.0,19.9997,56.41108
Jiddat al Harasis 317,45843,H5,21472.0,2001.0,19.36312,55.55723
Jiddat al Harasis 342,45866,L5,49750.0,2006.0,19.71458,56.54755
Jiddat al Harasis 355,51623,L~6,16879.1,2003.0,19.35885,55.54843
Jiddat al Harasis 406,48557,L6,33000.0,2006.0,19.53268,56.87225
Jiddat al Harasis 426,48577,L6,11170.1,2007.0,19.93787,56.39555
Jiddat al Harasis 574,51916,H4-6,13000.0,2009.0,19.75377,56.29692
Jiddat al Harasis 628,52779,H5,16000.0,2009.0,19.83956,55.76756
Jiddat al Harasis 664,56219,H5,12175.0,2011.0,19.82562,55.684
Joe Wright Mountain,12174,"Iron, IIIAB",42600.0,1884.0,35.76667,-91.5
Johnson City,12197,L6,10400.0,1937.0,37.55,-101.68333
Juanita de Angeles,12204,H5,85000.0,1992.0,28.41667,-105.08333
Julesburg,12208,L3.6,57900.0,1983.0,39.975,-102.26667
Juncal,12211,"Iron, IIIAB",104000.0,1866.0,-26.0,-69.25
Kaffir (d),12226,L5,26760.0,1981.0,34.67167,-101.815
Kalahari 009,30738,Lunar (basalt),13500.0,1999.0,-20.9818,22.9766
Kaldoonera Hill,12233,H6,12000.0,1956.0,-32.61667,134.85
Kalvesta,12237,H4,10000.0,1968.0,38.08333,-100.25
Kansas City (1903),12248,H5,36000.0,1903.0,39.1,-94.63333
Karasburg,12257,"Iron, IIIAB?",12000.0,1964.0,-27.66667,18.96667
Karee Kloof,12259,"Iron, IAB-sLL",92100.0,1914.0,-31.6,25.8
Kargapole,12261,H4,21800.0,1961.0,55.88333,64.3
Kaufman,12267,L5,23000.0,1893.0,32.58333,-96.41667
Kearney,12269,H5,10000.0,1934.0,40.68333,-99.06667
Kelly,12273,LL4,44300.0,1937.0,40.46667,-103.03333
Kendall County,12274,"Iron, IAB-ung",21000.0,1887.0,29.4,-98.5
Kenna,12277,Ureilite,10900.0,1972.0,33.9,-103.55333
Kenton County,12280,"Iron, IIIAB",194000.0,1889.0,38.81667,-84.6
Keyes,12287,L6,142000.0,1939.0,36.71667,-102.5
Kielpa,12302,H5,13600.0,1948.0,-33.6,136.1
Kifkakhsyagan,12304,"Iron, IIIAB",18800.0,1972.0,64.4,172.7
Kimble County,12311,H6,153800.0,1918.0,30.41667,-99.4
Kingston,12318,"Iron, ungrouped",12900.0,1891.0,32.9,-107.73333
